id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction,league
584630,19,MissedShots,116.51999816894532,53.840002441406256,0.050078392028808594,Bruno Fernandes,h,1228,OpenPlay,2024,LeftFoot,26602,Manchester United,Fulham,1,0,2024-08-16 19:00:00,Lisandro Martínez,Chipped,EPL
584631,26,MissedShots,89.63999633789062,38.320001220703126,0.020807035267353058,Casemiro,h,2248,OpenPlay,2024,RightFoot,26602,Manchester United,Fulham,1,0,2024-08-16 19:00:00,Mason Mount,Pass,EPL
584632,28,SavedShot,109.56000366210938,27.679998779296877,0.25769174098968506,Bruno Fernandes,h,1228,OpenPlay,2024,RightFoot,26602,Manchester United,Fulham,1,0,2024-08-16 19:00:00,Casemiro,Pass,EPL
584633,33,SavedShot,109.56000366210938,37.039999389648436,0.4701629877090454,Bruno Fernandes,h,1228,OpenPlay,2024,RightFoot,26602,Manchester United,Fulham,1,0,2024-08-16 19:00:00,Casemiro,Pass,EPL
584634,36,MissedShots,114.96000366210937,47.92000122070313,0.01805894263088703,Casemiro,h,2248,FromCorner,2024,Head,26602,Manchester United,Fulham,1,0,2024-08-16 19:00:00,Amad Diallo Traore,Aerial,EPL
584635,41,MissedShots,96.96000366210937,35.83999938964843,0.07073989510536194,Casemiro,h,2248,OpenPlay,2024,RightFoot,26602,Manchester United,Fulham,1,0,2024-08-16 19:00:00,,TakeOn,EPL
584638,52,SavedShot,111.36000366210938,45.03999938964844,0.46622347831726074,Mason Mount,h,7768,OpenPlay,2024,LeftFoot,26602,Manchester United,Fulham,1,0,2024-08-16 19:00:00,,None,EPL
584639,54,BlockedShot,93.60000000000001,45.03999938964844,0.03356590494513512,Bruno Fernandes,h,1228,OpenPlay,2024,RightFoot,26602,Manchester United,Fulham,1,0,2024-08-16 19:00:00,,BallRecovery,EPL
584640,55,MissedShots,94.56000366210938,46.0,0.029925644397735596,Kobbie Mainoo,h,11174,OpenPlay,2024,RightFoot,26602,Manchester United,Fulham,1,0,2024-08-16 19:00:00,Mason Mount,Pass,EPL
584642,65,BlockedShot,93.1199981689453,39.2,0.03178107738494873,Bruno Fernandes,h,1228,OpenPlay,2024,LeftFoot,26602,Manchester United,Fulham,1,0,2024-08-16 19:00:00,Casemiro,Pass,EPL
584643,68,MissedShots,94.80000000000001,32.87999877929687,0.023224636912345886,Alejandro Garnacho,h,10552,FromCorner,2024,RightFoot,26602,Manchester United,Fulham,1,0,2024-08-16 19:00:00,,None,EPL
584647,79,SavedShot,98.28000183105469,43.36000061035156,0.09460592269897461,Bruno Fernandes,h,1228,OpenPlay,2024,RightFoot,26602,Manchester United,Fulham,1,0,2024-08-16 19:00:00,Alejandro Garnacho,Pass,EPL
